Код_товара;Название_позиции;Ключевые_слова;Описание;Тип_товара;Цена;Валюта;Единица_измерения;Минимальный_объем_заказа;Оптовая_цена;Минимальный_заказ_опт;Ссылка_изображения;Наличие;Скидка;Производитель;Страна_производитель;Номер_группы;Адрес_подраздела;Идентификатор_товара;Уникальный_идентификатор;Идентификатор_подраздела
11.044;Ремень 1308 J5 EL «Megadyne» желтый;;Ремень 1308 J5 EL «Megadyne» желтый;u;180;UAH;шт.;1;180;2;;+;;;;;;1.3.0136;;
11.054;Ремень 1316 J4 «Hutchitson» черный;;Ремень 1316 J4 «Hutchitson» черный;u;175;UAH;шт.;1;175;2;;+;;;;;;1.3.0117;;
11.061;Ремень Ardo 1238 H7 EL «Megadyne» черный;;Ремень Ardo 1238 H7 EL «Megadyne» черный;u;190;UAH;шт.;1;190;2;;+;;;;;;1.3.0181;;
11.011;Ремень клиновидный 3L493 он же Z-1250 ARDO черный;;Ремень клиновидный 3L493 он же Z-1250 ARDO черный;u;130;UAH;шт.;1;130;2;;+;;;;;;1.3.0026;;
11.033;Ремень клиновидный «САТУРН» A-675E черный;;Ремень клиновидный «САТУРН» A-675E черный;u;95;UAH;шт.;1;95;2;;+;;;;;;1.3.0229;;
23.0001;Ручка Bosch Max 266751 не оригинал;;Ручка Bosch Max 266751 не оригинал;u;178;UAH;шт.;1;178;2;;+;;;;;;1.21.0082;;
23.0002;Ручка дверки (люка) Ardo и Whirlpool квадратная;;Ручка дверки (люка) Ardo и Whirlpool квадратная;u;91;UAH;шт.;1;91;2;;+;;;;;;1.21.0002;;
23.0013;Ручка дверки (люка) Bosch 751782 (не оригинал);;Ручка дверки (люка) Bosch 751782 (не оригинал);u;380;UAH;шт.;1;380;2;;+;;;;;;1.21.0171;;
23.0019;Ручка дверки (люка) Bosch Siemens 648581 (не оригинал);;Ручка дверки (люка) Bosch Siemens 648581 (не оригинал);u;415;UAH;шт.;1;415;2;;+;;;;;;1.21.0340;;
23.0015;Ручка дверки (люка) Bosch Siemens 751783 (не оригинал);;Ручка дверки (люка) Bosch Siemens 751783 (не оригинал);u;457;UAH;шт.;1;457;2;;+;;;;;;1.21.0149;;
23.0004;Ручка дверки (люка) Gorenje 333855;;Ручка дверки (люка) Gorenje 333855;u;184;UAH;шт.;1;184;2;;+;;;;;;1.21.0048;;
23.0005;Ручка дверки (люка) Indesit EWO 2 Original;;Ручка дверки (люка) Indesit EWO 2 Original;u;125;UAH;шт.;1;125;2;;+;;;;;;1.21.0001;;
23.0006;Ручка дверки (люка) Indesit EWO 2 не оригинал;;Ручка дверки (люка) Indesit EWO 2 не оригинал;u;85;UAH;шт.;1;85;2;;+;;;;;;1.21.0040;;
23.0007;Ручка дверки (люка) LG;;Ручка дверки (люка) LG;u;70;UAH;шт.;1;70;2;;+;;;;;;1.21.0006;;
23.0016;Ручка дверки (люка) Samsung;;Ручка дверки (люка) Samsung;u;383;UAH;шт.;1;383;2;;+;;;;;;1.21.0005;;
23.0017;Ручка дверки (люка) Атлант 775333100100;;Ручка дверки (люка) Атлант 775333100100;u;58;UAH;шт.;1;58;2;;+;;;;;;1.21.0140;;
23.0018;Ручка дверки (люка) совместимая с Ardo 719007200;;Ручка дверки (люка) совместимая с Ardo 719007200;u;180;UAH;шт.;1;180;2;;+;;;;;;1.21.0186;;
23.0010;Ручка переключения программ Whirlpool 481241458306;;Ручка переключения программ Whirlpool 481241458306;u;201;UAH;шт.;1;201;2;;+;;;;;;1.21.0051;;
10.0078;Сальник 21*40*10 SKL;;Сальник 21*40*10 SKL;u;50;UAH;шт.;1;50;2;;+;;;;;;1.1.0338;;
10.0079;Сальник 21*40*7 SKL;;Сальник 21*40*7 SKL;u;45;UAH;шт.;1;45;2;;+;;;;;;1.1.0367;;
10.0002;Сальник 22*40*10/11,5 WLK;;Сальник 22*40*10/11,5 WLK;u;60;UAH;шт.;1;60;2;;+;;;;;;1.1.0145;;
10.0084;Сальник 22*40*10 SKL;;Сальник 22*40*10 SKL;u;32;UAH;шт.;1;32;2;;+;;;;;;1.1.0342;;
10.0081;Сальник 22*40*8/11,5 GP Corteco;;Сальник 22*40*8/11,5 GP Corteco;u;55;UAH;шт.;1;55;2;;+;;;;;;;;
10.0004;Сальник 22*40*8/11,5 SKL;;Сальник 22*40*8/11,5 SKL;u;42;UAH;шт.;1;42;2;;+;;;;;;1.1.0356;;
10.0003;Сальник 22*40*8/11,5 WLK;;Сальник 22*40*8/11,5 WLK;u;55;UAH;шт.;1;55;2;;+;;;;;;1.1.0073;;
10.0098;Сальник 25*47*10 SKL Двухбортовый;;Сальник 25*47*10 SKL Двухбортовый;u;42;UAH;шт.;1;42;2;;+;;;;;;1.1.0334;;
10.0006;Сальник 25*47*10 Двухбортовой WLK;;Сальник 25*47*10 Двухбортовой WLK;u;55;UAH;шт.;1;55;2;;+;;;;;;1.1.0049;;
10.0064;Сальник 25*47/64*7/10,5 Original;;Сальник 25*47/64*7/10,5 Original;u;115;UAH;шт.;1;115;2;;+;;;;;;1.1.0118;;
10.0007;Сальник 25*47/64*7/10,5 WLK;;Сальник 25*47/64*7/10,5 WLK;u;73;UAH;шт.;1;73;2;;+;;;;;;1.1.0059;;
10.0097;Сальник 25*47/64*7/10 Италия;;Сальник 25*47/64*7/10 Италия;u;84;UAH;шт.;1;84;2;;+;;;;;;1.1.0254;;
10.0009;Сальник 25*47*8/11,5;;Сальник 25*47*8/11,5;u;58;UAH;шт.;1;58;2;;+;;;;;;1.1.0095;;
10.0010;Сальник 25*47*8/11,5 (Италия);;Сальник 25*47*8/11,5 (Италия);u;64;UAH;шт.;1;64;2;;+;;;;;;1.1.0228;;
10.0080;Сальник 25*50*10 SKL;;Сальник 25*50*10 SKL;u;42;UAH;шт.;1;42;2;;+;;;;;;1.1.0335;;
10.0011;Сальник 25*50*10 WLK;;Сальник 25*50*10 WLK;u;58;UAH;шт.;1;58;2;;+;;;;;;1.1.0030;;
10.0014;Сальник 25*50,55*10/12 SKL;;Сальник 25*50,55*10/12 SKL;u;71;UAH;шт.;1;71;2;;+;;;;;;1.1.0248;;
10.0049;Сальник 25*50,55*10/12 WLK (Samsung);;Сальник 25*50,55*10/12 WLK (Samsung);u;88;UAH;шт.;1;88;2;;+;;;;;;1.1.0406;;
10.0015;Сальник 25*50,55*10 WLK;;Сальник 25*50,55*10 WLK;u;72;UAH;шт.;1;72;2;;+;;;;;;1.1.0094;;
10.0092;Сальник 25*50*9/11 WLK;;Сальник 25*50*9/11 WLK;u;76;UAH;шт.;1;76;2;;+;;;;;;1.1.0422;;
10.0016;Сальник 25*52*10 SKL;;Сальник 25*52*10 SKL;u;58;UAH;шт.;1;58;2;;+;;;;;;1.1.0144;;
10.0017;Сальник 25*52*8/11.5 WLK;;Сальник 25*52*8/11.5 WLK;u;65;UAH;шт.;1;65;2;;+;;;;;;1.1.0065;;
10.0018;Сальник 25*53,5*10/14 Италия;;Сальник 25*53,5*10/14 Италия;u;99;UAH;шт.;1;99;2;;+;;;;;;1.1.0226;;
10.0066;Сальник 28*62*10/12 Bosch SKL;;Сальник 28*62*10/12 Bosch SKL;u;62;UAH;шт.;1;62;2;;+;;;;;;1.1.0425;;
10.0019;Сальник 28*62*10/12 Bosch WLK;;Сальник 28*62*10/12 Bosch WLK;u;80;UAH;шт.;1;80;2;;+;;;;;;1.1.0352;;
